company,period,item,value,unit,value_mn_tl
TEB,2025/12,Brüt Kâr (Zarar),712061,1000TL,712.061
TEB,2025/12,Esas Faaliyet Gelirleri,2374729,1000TL,2374.729
TEB,2025/12,Finansman Giderleri,-1662668,1000TL,-1662.668
TEB,2025/12,Net Faaliyet Kârı (Zararı),607591,1000TL,607.591
TEB,2025/12,Varlıklar Toplamı,5049135,1000TL,5049.135
TEB,2025/12,Özkaynaklar,1371477,1000TL,1371.477
TEB,2025/12,İhraç Edilen Menkul Kıymetler (Net),0,1000TL,0
TEB,2026/06,Alınan Krediler,3427537,1000TL,3427.537
TEB,2026/06,Brüt Kâr (Zarar),389739,1000TL,389.739
TEB,2026/06,Esas Faaliyet Gelirleri,1001628,1000TL,1001.628
TEB,2026/06,Finansman Giderleri,-611889,1000TL,-611.889
TEB,2026/06,Net Faaliyet Kârı (Zararı),281371,1000TL,281.371
TEB,2026/06,Varlıklar Toplamı,5488085,1000TL,5488.085
TEB,2026/06,Özkaynaklar,1563774,1000TL,1563.774
TEB,2026/06,İhraç Edilen Menkul Kıymetler (Net),0,1000TL,0
VDF,2023/12,Alınan Krediler,11876484,1000TL,11876.484
VDF,2023/12,Brüt Kâr (Zarar),1057208,1000TL,1057.208
VDF,2023/12,Esas Faaliyet Gelirleri,2997365,1000TL,2997.365
VDF,2023/12,Finansman Giderleri,-1940157,1000TL,-1940.157
VDF,2023/12,Net Faaliyet Kârı (Zararı),480927,1000TL,480.927
VDF,2023/12,Varlıklar Toplamı,14998727,1000TL,14998.727
VDF,2023/12,Özkaynaklar,1539605,1000TL,1539.605
VDF,2023/12,İhraç Edilen Menkul Kıymetler (Net),1038148,1000TL,1038.148
VDF,2024/12,Alınan Krediler,20117339,1000TL,20117.339
VDF,2024/12,Brüt Kâr (Zarar),1225684,1000TL,1225.684
VDF,2024/12,Esas Faaliyet Gelirleri,7705206,1000TL,7705.206
VDF,2024/12,Finansman Giderleri,-6479522,1000TL,-6479.522
VDF,2024/12,Net Faaliyet Kârı (Zararı),1121606,1000TL,1121.606
VDF,2024/12,Varlıklar Toplamı,26553895,1000TL,26553.895
VDF,2024/12,Özkaynaklar,2239154,1000TL,2239.154
VDF,2024/12,İhraç Edilen Menkul Kıymetler (Net),2663460,1000TL,2663.46
VDF,2025/12,Alınan Krediler,32813172,1000TL,32813.172
VDF,2025/12,Brüt Kâr (Zarar),2579282,1000TL,2579.282
VDF,2025/12,Esas Faaliyet Gelirleri,13248171,1000TL,13248.171
VDF,2025/12,Finansman Giderleri,-10668889,1000TL,-10668.889
VDF,2025/12,Net Faaliyet Kârı (Zararı),2432774,1000TL,2432.774
VDF,2025/12,Varlıklar Toplamı,43023297,1000TL,43023.297
VDF,2025/12,Özkaynaklar,4716394,1000TL,4716.394
VDF,2025/12,İhraç Edilen Menkul Kıymetler (Net),2534549,1000TL,2534.549
VDF,2026/06,Alınan Krediler,29185622,1000TL,29185.622
VDF,2026/06,Brüt Kâr (Zarar),2408219,1000TL,2408.219
VDF,2026/06,Esas Faaliyet Gelirleri,8058628,1000TL,8058.628
VDF,2026/06,Finansman Giderleri,-5650409,1000TL,-5650.409
VDF,2026/06,Net Faaliyet Kârı (Zararı),1776651,1000TL,1776.651
VDF,2026/06,Varlıklar Toplamı,43381786,1000TL,43381.786
VDF,2026/06,Özkaynaklar,5966026,1000TL,5966.026
VDF,2026/06,İhraç Edilen Menkul Kıymetler (Net),5812555,1000TL,5812.555
