company,period,metric_id,metric,value
TEB Arval,2025/12,leased_assets_net,Leased Assets - Net,34823126140.0576
TEB Arval,2025/12,shareholders_equity,Shareholders' Equity,23173855437.619198
TEB Arval,2025/12,profit_before_tax,Profit Before Tax,1986965124.1471999
TEB Arval,2025/12,profit_after_tax,Profit After Tax,1164829150.5664
TEB Arval,2025/12,borrowings,Borrowings,11902131988.223999
TEB Arval,2025/12,interest_expense,Interest Expense,4793720050.5344
TEB Arval,2025/12,depreciation,Depreciation,2714718811.7504
TEB Arval,2025/12,operational_profit,Operational Profit,5082451666.793207
TEB Arval,2024/12,used_car_sales,Used Car Sales,6755689493.6064
TEB Arval,2024/12,cost_of_uc_sales,Cost of UC Sales,4933630177.792
TEB Arval,2024/12,uc_sale_profit,UC Sale Profit,2145657050.3030372
TEB Arval,2024/12,leased_assets_net,Leased Assets - Net,35443847937.9456
TEB Arval,2024/12,shareholders_equity,Shareholders' Equity,22168998504.8576
TEB Arval,2024/12,profit_before_tax,Profit Before Tax,2975911483.2896
TEB Arval,2024/12,profit_after_tax,Profit After Tax,2826265823.5903997
TEB Arval,2024/12,borrowings,Borrowings,12149239860.736
TEB Arval,2024/12,interest_expense,Interest Expense,4635882668.4416
TEB Arval,2024/12,depreciation,Depreciation,2214099088.3328
TEB Arval,2024/12,operational_profit,Operational Profit,3599344794.997213
